id,category,question,answer
240,Energy & Environment,Sustainability: What is carbon capture and sequestration (CCS)?,The capture and long-term storage of carbon dioxide to reduce atmospheric emissions.
241,Energy & Environment,Sustainability: What is the heat island effect?,Urban warming caused by heat-absorbing surfaces and human activity.
242,Fundamental Principles,Water Quality: What is methemoglobinemia?,A blood disorder caused by nitrates reducing oxygen transport.
243,Fundamental Principles,General: What are the criteria pollutants?,"Carbon monoxide, lead, nitrogen dioxide, ozone, particulate matter, and sulfur dioxide."
244,Groundwater/Soils/Sediments,"Hydrology: What is ""specific yield"" in the context of aquifers?",It is the percentage of water that is free to drain from an aquifer under the influence of gravity.
245,Fundamental Principles,"Hydrology: What is a ""cone of depression""?",It is the lowering of the piezometric surface (water table) around a well that occurs when the well is pumped.
246,Health Hazards & Risk Assessment,"Hydrology: What is the ""vadose zone""?",It is the zone of aeration (unsaturated zone) above the water table.
247,Energy & Environment,"Sustainability: What is the ""2030 Agenda"" adopted by the UN?",It is a blueprint for peace and prosperity providing seventeen Sustainable Development Goals to shift the world to a sustainable path.
248,Thermodynamics,"Sustainability: What are the three main scopes of a ""Life Cycle Assessment"" (LCA)?","Cradle-to-grave (raw material to disposal), cradle-to-gate (raw material to factory exit), and gate-to-gate (within the manufacturing facility)."
249,Water & Wastewater,"Water Quality: What is ""Chemical Oxygen Demand"" (COD)?",It is a test that determines the oxygen equivalent of organic matter that can be oxidized by a strong chemical oxidizing agent.
250,Fundamental Principles,"Water Quality: What is ""Total Kjeldahl Nitrogen"" (TKN)?",It is a measure of the total organic and ammonia nitrogen in wastewater.
251,Fundamental Principles,"Water Quality: What is the ""critical point"" in a dissolved oxygen sag curve?",It is the lowest point on the DO sag curve where dissolved oxygen conditions are the worst.
252,Water & Wastewater,"Water Treatment: What is the ""schmutzdecke"" in slow sand filtration?","It is a biologically active layer that forms on the surface of slow sand filters, aiding in effective filtration."
253,Fundamental Principles,"Water Treatment: What is the process of ""slaking""?",It is the process of mixing quicklime (CaO) with water to produce a slurry of hydrated lime (Ca(OH)₂).
254,Water & Wastewater,"Water Treatment: What are ""Disinfection By-Products"" (DBPs)?","They are chemicals, such as trihalomethanes (THMs) and haloacetic acids (HAAs), formed when disinfectants react with naturally occurring organic matter."
255,Fundamental Principles,"Wastewater: What is the purpose of ""flow equalization""?",To dampen flow and strength variations so that wastewater can be treated at a nearly constant rate.
256,Fundamental Principles,"Wastewater: What is ""mixed liquor""?",The mixture of wastewater and microorganisms in the aeration tank of an activated sludge process.
257,Fundamental Principles,"Wastewater: What is a ""Rotating Biological Contactor"" (RBC)?",A biological treatment process consisting of a series of circular textured plastic disks that rotate partially submerged in wastewater.
258,Environmental Chemistry,"Wastewater: What are ""Advanced Oxidation Processes"" (AOPs)?",Processes designed to produce hydroxyl radicals to decompose refractory organic compounds.
259,Air Quality & Control,"Air Pollution: What is an ""adiabatic process""?",A thermodynamic process that takes place with no exchange of heat or mass between the system and its surroundings.
260,Air Quality & Control,"Air Pollution: What is a ""State Implementation Plan"" (SIP)?",A plan established by state agencies to enforce air quality standards and describe how attainment will be achieved.
261,Air Quality & Control,"Air Pollution: What is a ""nonattainment area""?",A geographic area that does not meet the primary standard for a specific criteria pollutant.
262,Air Quality & Control,"Air Pollution: What are ""New Source Performance Standards"" (NSPS)?",Technology-based regulations set by the EPA that apply to new and modified stationary sources of pollution.
263,Air Quality & Control,"Air Pollution: What is the ""Montreal Protocol""?",An international agreement ratified in 1989 to phase out the production and consumption of ozone-depleting substances like CFCs.
264,Air Quality & Control,"Air Pollution: What is ""Flue Gas Desulfurization"" (FGD)?","A technology used to remove sulfur oxides from exhaust gas streams, often using lime or limestone."
265,Solid & Hazardous Waste,"Solid Waste: What is ""Refuse-Derived Fuel"" (RDF)?",A fuel produced from the light fraction (burnable portion) of shredded municipal solid waste.
266,Solid & Hazardous Waste,"Solid Waste: What constitutes a ""composite liner"" in a landfill?",A liner consisting of a geomembrane and a low hydraulic conductivity soil.
267,Solid & Hazardous Waste,"Solid Waste: What is the primary purpose of a ""daily cover"" in a landfill?","To prevent disease vectors (flies, rats), fires, and odors."
268,Solid & Hazardous Waste,"Hazardous Waste: What is the ""Resource Conservation and Recovery Act"" (RCRA)?",A law passed in 1976 directing the EPA to establish regulations for the generation and disposal of hazardous wastes.
269,Solid & Hazardous Waste,"Hazardous Waste: What is the ""National Priority List"" (NPL)?","EPA’s list of sites that appear to present a significant risk to public health or the environment, eligible for Superfund money."
270,Solid & Hazardous Waste,"Hazardous Waste: What is the ""Hazard Ranking System"" (HRS)?",A procedure for ranking uncontrolled hazardous waste sites based on potential threats to health and the environment.
271,Solid & Hazardous Waste,"Hazardous Waste: What is the ""National Contingency Plan"" (NCP)?",A plan that provides detailed direction on the action to be taken at a hazardous waste site.
272,Solid & Hazardous Waste,"Hazardous Waste: What is a ""Potentially Responsible Party"" (PRP)?","An entity (e.g., owner, operator, transporter) that can be held accountable for the costs associated with cleaning up a hazardous waste site."
273,Solid & Hazardous Waste,"Hazardous Waste: What is ""Destruction and Removal Efficiency"" (DRE)?",The percentage of a principal organic hazardous component (POHC) that is destroyed or removed by an incinerator.
274,Energy & Environment,"Noise: What is the ""equivalent continuous equal energy level"" (Leq)?",The steady noise level that would contain the same amount of sound energy as the actual time-varying noise over a specific period.
275,Fundamental Principles,Noise: What is the day-night average sound level (Ldn)?,The Leq computed over a 24-hour period with a 10 dBA penalty added to nighttime noise (10 p.m. to 7 a.m.).
276,Fundamental Principles,"Noise: What is a ""weighting network"" in sound measurement?","An electronic filter (like A, B, or C) in a sound meter that adjusts readings to mimic the human ear’s response at different frequencies."
277,Fundamental Principles,"Noise: What is an ""octave band""?","A frequency interval where the upper frequency is twice the lower frequency, used to characterize noise spectra."
